,0,1,2,3,4,5,6,7,8,9,10
39,bottled water,specialty bar,,,,,,,,,
40,frankfurter,bottled water,,,,,,,,,
41,kitchen towels,sliced cheese,,,,,,,,,
42,pip fruit,candles,rolls/buns,,,,,,,,
43,curd cheese,pastry,,,,,,,,,
44,citrus fruit,candy,bottled water,rolls/buns,,,,,,,
45,whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,,
46,frozen vegetables,brown bread,,,,,,,,,
47,frankfurter,yogurt,,,,,,,,,
48,processed cheese,whole milk,,,,,,,,,
49,tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
50,hard cheese,napkins,bottled water,,,,,,,,
51,whole milk,candy,,,,,,,,,
52,tropical fruit,frozen vegetables,,,,,,,,,
53,mustard,whipped/sour cream,,,,,,,,,
54,other vegetables,mustard,,,,,,,,,
55,root vegetables,mayonnaise,,,,,,,,,
56,frozen meals,whole milk,,,,,,,,,
57,white bread,meat,domestic eggs,roll products ,,,,,,,
58,hamburger meat,butter milk,,,,,,,,,
59,whole milk,rolls/buns,,,,,,,,,
60,whole milk,sausage,bottled beer,yogurt,,,,,,,
61,canned beer,cookware,,,,,,,,,
62,fruit/vegetable juice,rolls/buns,chocolate,,,,,,,,
63,salty snack,beef,,,,,,,,,
64,citrus fruit,whole milk,,,,,,,,,
65,soft cheese,pip fruit,,,,,,,,,
66,UHT-milk,bottled beer,,,,,,,,,
67,chicken,red/blush wine,,,,,,,,,
68,rolls/buns,frankfurter,oil,pip fruit,mayonnaise,,,,,,
69,other vegetables,root vegetables,,,,,,,,,
70,yogurt,beef,,,,,,,,,
71,brown bread,pet care,,,,,,,,,
72,other vegetables,rolls/buns,,,,,,,,,
73,soda,dessert,shopping bags,,,,,,,,
74,curd,long life bakery product,,,,,,,,,
75,beverages,domestic eggs,,,,,,,,,
76,berries,cake bar,,,,,,,,,
77,butter milk,root vegetables,,,,,,,,,
78,hamburger meat,red/blush wine,,,,,,,,,
79,frozen meals,butter,newspapers,yogurt,,,,,,,
80,canned beer,shopping bags,,,,,,,,,
81,canned beer,spices,rolls/buns,frozen fish,,,,,,,
82,sliced cheese,butter,,,,,,,,,
83,rolls/buns,baking powder,,,,,,,,,
84,liquor,curd,yogurt,tropical fruit,,,,,,,
85,beef,napkins,,,,,,,,,
86,whole milk,whipped/sour cream,,,,,,,,,
87,sausage,fruit/vegetable juice,,,,,,,,,
88,chicken,frozen meals,,,,,,,,,
89,male cosmetics,curd,,,,,,,,,
90,domestic eggs,soda,,,,,,,,,
91,sausage,whipped/sour cream,specialty bar,,,,,,,,
92,whipped/sour cream,root vegetables,rolls/buns,packaged fruit/vegetables,,,,,,,
93,white bread,bottled beer,yogurt,berries,,,,,,,
94,fish,root vegetables,tropical fruit,other vegetables,,,,,,,
95,coffee,shopping bags,,,,,,,,,
96,ham,cream cheese ,,,,,,,,,
97,canned beer,UHT-milk,,,,,,,,,
98,root vegetables,long life bakery product,,,,,,,,,
99,sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
100,citrus fruit,yogurt,,,,,,,,,
101,fruit/vegetable juice,salty snack,candy,dental care,butter,,,,,,
102,root vegetables,whipped/sour cream,root vegetables,canned beer,,,,,,,
103,softener,salt,whole milk,,,,,,,,
104,rolls/buns,bottled water,,,,,,,,,
105,rolls/buns,red/blush wine,,,,,,,,,
106,pork,hamburger meat,,,,,,,,,
107,rolls/buns,baking powder,onions,bottled water,,,,,,,
108,rolls/buns,sugar,,,,,,,,,
109,soda,butter,,,,,,,,,
110,onions,canned beer,flower (seeds),,,,,,,,
111,specialty chocolate,root vegetables,,,,,,,,,
112,dessert,ham,,,,,,,,,
113,ice cream,pot plants,,,,,,,,,
114,beverages,cream cheese ,,,,,,,,,
115,other vegetables,other vegetables,berries,,,,,,,,
116,whipped/sour cream,newspapers,,,,,,,,,
117,white bread,whole milk,pastry,shopping bags,,,,,,,
118,berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
119,ice cream,whipped/sour cream,,,,,,,,,
120,yogurt,root vegetables,,,,,,,,,
121,frankfurter,pastry,,,,,,,,,
122,fruit/vegetable juice,dessert,,,,,,,,,
123,sausage,snack products,rolls/buns,,,,,,,,
124,tropical fruit,soda,rolls/buns,,,,,,,,
125,chicken,waffles,,,,,,,,,
126,pip fruit,cling film/bags,yogurt,cat food,,,,,,,
127,bottled water,domestic eggs,frozen meals,,,,,,,,
128,tropical fruit,newspapers,,,,,,,,,
129,whole milk,frozen vegetables,,,,,,,,,
130,pip fruit,white wine,white bread,salt,,,,,,,
131,whole milk,yogurt,yogurt,rolls/buns,,,,,,,
132,sausage,frozen vegetables,,,,,,,,,
133,whole milk,newspapers,,,,,,,,,
134,fruit/vegetable juice,vinegar,,,,,,,,,
135,tropical fruit,white bread,rolls/buns,,,,,,,,
136,citrus fruit,shopping bags,chewing gum,cake bar,,,,,,,
137,frankfurter,yogurt,canned beer,,,,,,,,
138,margarine,napkins,,,,,,,,,
139,whole milk,pip fruit,whipped/sour cream,,,,,,,,
140,sausage,pork,butter,whole milk,fruit/vegetable juice,,,,,,
141,pip fruit,herbs,frozen meals,,,,,,,,
142,other vegetables,specialty chocolate,,,,,,,,,
143,Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
144,salty snack,rolls/buns,,,,,,,,,
145,whole milk,pasta,rolls/buns,,,,,,,,
146,yogurt,rolls/buns,,,,,,,,,
147,root vegetables,white bread,,,,,,,,,
148,tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
149,chicken,frozen vegetables,candy,,,,,,,,
150,tropical fruit,brown bread,whole milk,,,,,,,,
151,prosecco,dessert,,,,,,,,,
152,hamburger meat,yogurt,,,,,,,,,
153,citrus fruit,bottled water,,,,,,,,,
154,whole milk,other vegetables,,,,,,,,,
155,beef,dessert,,,,,,,,,
156,tropical fruit,sliced cheese,,,,,,,,,
157,napkins,whole milk,chocolate marshmallow,,,,,,,,
158,citrus fruit,rolls/buns,whole milk,,,,,,,,
159,tropical fruit,other vegetables,,,,,,,,,
160,root vegetables,curd,,,,,,,,,
161,fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
162,root vegetables,yogurt,butter,yogurt,,,,,,,
163,chicken,onions,,,,,,,,,
164,whole milk,pastry,,,,,,,,,
165,pork,bottled water,,,,,,,,,
166,pip fruit,soda,,,,,,,,,
167,curd,soda,,,,,,,,,
168,sweet spreads,butter,,,,,,,,,
169,rolls/buns,condensed milk,whole milk,soda,,,,,,,
170,rolls/buns,tropical fruit,,,,,,,,,
171,specialty bar,margarine,,,,,,,,,
172,butter,whole milk,,,,,,,,,
173,white bread,candy,,,,,,,,,
174,frankfurter,herbs,,,,,,,,,
175,waffles,beverages,,,,,,,,,
176,pasta,yogurt,cat food,,,,,,,,
177,house keeping products,yogurt,,,,,,,,,
178,whipped/sour cream,hygiene articles,,,,,,,,,
179,UHT-milk,other vegetables,dishes,,,,,,,,
180,meat,whole milk,,,,,,,,,
181,hamburger meat,bottled beer,,,,,,,,,
182,pork,coffee,frozen vegetables,,,,,,,,
183,shopping bags,shopping bags,,,,,,,,,
184,fish,tropical fruit,red/blush wine,cream cheese ,,,,,,,
185,other vegetables,soda,rolls/buns,dishes,,,,,,,
186,tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,,
187,root vegetables,grapes,,,,,,,,,
188,chicken,beverages,coffee,,,,,,,,
189,beef,shopping bags,,,,,,,,,
190,soda,hamburger meat,,,,,,,,,
191,butter,dog food,,,,,,,,,
192,soda,whole milk,,,,,,,,,
193,bottled water,chewing gum,,,,,,,,,
194,frankfurter,whipped/sour cream,,,,,,,,,
195,butter milk,yogurt,yogurt,margarine,,,,,,,
196,pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
197,soda,soda,,,,,,,,,
198,chicken,frozen vegetables,,,,,,,,,
199,waffles,rolls/buns,,,,,,,,,
200,whole milk,sugar,,,,,,,,,
201,other vegetables,whole milk,,,,,,,,,
202,hamburger meat,pastry,,,,,,,,,
203,soda,fruit/vegetable juice,,,,,,,,,
204,bottled beer,oil,,,,,,,,,
205,frankfurter,citrus fruit,margarine,,,,,,,,
206,photo/film,other vegetables,,,,,,,,,
207,pork,white wine,,,,,,,,,
208,bottled water,yogurt,newspapers,soda,,,,,,,
209,ham,whole milk,,,,,,,,,
210,whipped/sour cream,meat spreads,,,,,,,,,
211,pip fruit,other vegetables,,,,,,,,,
212,salty snack,pickled vegetables,,,,,,,,,
213,soda,domestic eggs,sliced cheese,soda,,,,,,,
214,tropical fruit,UHT-milk,,,,,,,,,
215,chicken,other vegetables,,,,,,,,,
216,yogurt,root vegetables,,,,,,,,,
217,sausage,bottled water,,,,,,,,,
218,root vegetables,other vegetables,,,,,,,,,
219,sausage,salty snack,cling film/bags,,,,,,,,
220,dessert,spread cheese,,,,,,,,,
221,soda,fruit/vegetable juice,bottled beer,,,,,,,,
222,beef,chocolate,,,,,,,,,
223,whipped/sour cream,hard cheese,,,,,,,,,
224,beverages,dessert,,,,,,,,,
225,whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
226,whole milk,sauces,,,,,,,,,
227,ham,whipped/sour cream,ketchup,,,,,,,,
228,white bread,frozen fruits,,,,,,,,,
229,tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,,
230,other vegetables,yogurt,whole milk,butter,shopping bags,,,,,,
231,whole milk,citrus fruit,,,,,,,,,
232,rolls/buns,candy,,,,,,,,,
233,root vegetables,whole milk,,,,,,,,,
234,cream cheese ,rolls/buns,,,,,,,,,
235,long life bakery product,root vegetables,other vegetables,,,,,,,,
236,tropical fruit,whole milk,long life bakery product,rum,,,,,,,
237,hamburger meat,soda,,,,,,,,,
238,tropical fruit,rolls/buns,,,,,,,,,
239,red/blush wine,frozen fish,,,,,,,,,
240,beef,dessert,,,,,,,,,
241,frankfurter,tropical fruit,,,,,,,,,
242,root vegetables,bottled beer,,,,,,,,,
243,whole milk,other vegetables,,,,,,,,,
244,oil,shopping bags,,,,,,,,,
245,whole milk,tropical fruit,,,,,,,,,
246,rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
247,hamburger meat,pork,,,,,,,,,
248,soda,yogurt,,,,,,,,,
249,pork,spread cheese,,,,,,,,,
250,pork,rolls/buns,,,,,,,,,
251,brown bread,fruit/vegetable juice,,,,,,,,,
252,salt,domestic eggs,,,,,,,,,
253,bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
254,cream cheese ,newspapers,,,,,,,,,
255,citrus fruit,red/blush wine,,,,,,,,,
256,yogurt,roll products ,fruit/vegetable juice,,,,,,,,
257,ham,other vegetables,,,,,,,,,
258,frankfurter,canned beer,,,,,,,,,
259,brown bread,salt,,,,,,,,,
260,yogurt,bottled water,domestic eggs,,,,,,,,
261,finished products,brown bread,dishes,,,,,,,,
262,pip fruit,curd,pip fruit,prosecco,,,,,,,
263,detergent,candy,,,,,,,,,
264,semi-finished bread,ketchup,,,,,,,,,
265,oil,shopping bags,,,,,,,,,
266,misc. beverages,instant coffee,,,,,,,,,
267,fruit/vegetable juice,flower (seeds),,,,,,,,,
268,UHT-milk,canned fish,,,,,,,,,
269,pip fruit,rolls/buns,,,,,,,,,
270,frankfurter,frozen meals,dishes,,,,,,,,
271,frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
272,sausage,brown bread,,,,,,,,,
273,frankfurter,chicken,butter,bottled water,,,,,,,
274,ham,whole milk,whole milk,coffee,,,,,,,
275,sausage,butter,bottled water,,,,,,,,
276,other vegetables,butter,,,,,,,,,
277,pastry,pasta,,,,,,,,,
278,canned beer,rolls/buns,artif. sweetener,soda,,,,,,,
279,white bread,brown bread,,,,,,,,,
280,rolls/buns,root vegetables,,,,,,,,,
281,tropical fruit,soda,,,,,,,,,
282,chicken,soda,,,,,,,,,
283,frankfurter,curd,white bread,rolls/buns,coffee,,,,,,
284,red/blush wine,bottled water,sweet spreads,,,,,,,,
285,rolls/buns,onions,napkins,,,,,,,,
286,canned beer,soda,,,,,,,,,
287,root vegetables,frozen vegetables,pet care,,,,,,,,
288,beverages,yogurt,,,,,,,,,
289,tropical fruit,whole milk,,,,,,,,,
290,specialty bar,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
291,coffee,butter milk,,,,,,,,,
292,other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
293,bottled water,hygiene articles,,,,,,,,,
294,beef,margarine,other vegetables,,,,,,,,
295,specialty chocolate,soda,bathroom cleaner,,,,,,,,
296,hamburger meat,whole milk,,,,,,,,,
297,pork,sliced cheese,,,,,,,,,
298,pip fruit,other vegetables,,,,,,,,,
299,other vegetables,shopping bags,soda,,,,,,,,
300,yogurt,newspapers,,,,,,,,,
301,root vegetables,citrus fruit,,,,,,,,,
302,rolls/buns,soda,,,,,,,,,
303,canned beer,herbs,margarine,,,,,,,,
304,ice cream,whipped/sour cream,,,,,,,,,
305,other vegetables,beef,soda,curd,butter,,,,,,
306,rolls/buns,citrus fruit,,,,,,,,,
307,sausage,beverages,,,,,,,,,
308,whole milk,whole milk,,,,,,,,,
309,specialty chocolate,white bread,,,,,,,,,
310,other vegetables,whole milk,,,,,,,,,
311,ham,white bread,,,,,,,,,
312,coffee,berries,,,,,,,,,
313,soda,flower (seeds),jam,,,,,,,,
314,sausage,pip fruit,chocolate,,,,,,,,
315,herbs,pot plants,cake bar,,,,,,,,
316,yogurt,berries,,,,,,,,,
317,whole milk,hard cheese,,,,,,,,,
318,tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
319,yogurt,sauces,,,,,,,,,
320,beef,yogurt,,,,,,,,,
321,sausage,whisky,specialty chocolate,dishes,yogurt,napkins,detergent,pastry,,,
322,ice cream,whole milk,,,,,,,,,
323,yogurt,newspapers,,,,,,,,,
324,photo/film,shopping bags,,,,,,,,,
325,root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
326,rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
327,frankfurter,other vegetables,bottled beer,,,,,,,,
328,dessert,domestic eggs,,,,,,,,,
329,pasta,whole milk,waffles,,,,,,,,
330,newspapers,salty snack,,,,,,,,,
331,chocolate marshmallow,other vegetables,,,,,,,,,
332,whole milk,brown bread,,,,,,,,,
333,hamburger meat,detergent,flour,,,,,,,,
334,tropical fruit,soda,,,,,,,,,
335,sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
336,sausage,whole milk,,,,,,,,,
337,yogurt,shopping bags,,,,,,,,,
338,pickled vegetables,flour,,,,,,,,,
339,packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
340,pip fruit,fruit/vegetable juice,,,,,,,,,
341,shopping bags,root vegetables,,,,,,,,,
342,sausage,whole milk,cake bar,,,,,,,,
343,hard cheese,whole milk,,,,,,,,,
344,whipped/sour cream,curd,shopping bags,,,,,,,,
345,tropical fruit,whole milk,soda,curd,,,,,,,
346,frankfurter,whipped/sour cream,bottled water,,,,,,,,
347,citrus fruit,dessert,,,,,,,,,
348,tropical fruit,candy,,,,,,,,,
349,rolls/buns,shopping bags,cat food,,,,,,,,
350,tropical fruit,citrus fruit,yogurt,frankfurter,specialty chocolate,hard cheese,whole milk,canned beer,,,
351,canned beer,napkins,rolls/buns,,,,,,,,
352,root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
353,grapes,other vegetables,,,,,,,,,
354,pip fruit,brown bread,,,,,,,,,
355,root vegetables,instant coffee,,,,,,,,,
356,spread cheese,pork,,,,,,,,,
357,hamburger meat,pasta,,,,,,,,,
358,whole milk,yogurt,,,,,,,,,
359,soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
360,whole milk,processed cheese,,,,,,,,,
361,brown bread,sparkling wine,,,,,,,,,
362,rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
363,root vegetables,frozen vegetables,,,,,,,,,
364,candy,white wine,,,,,,,,,
365,yogurt,beverages,brown bread,,,,,,,,
366,other vegetables,white bread,detergent,,,,,,,,
367,chicken,pastry,candles,,,,,,,,
368,waffles,hygiene articles,tea,,,,,,,,
369,cream,yogurt,,,,,,,,,
370,ice cream,herbs,,,,,,,,,
371,yogurt,root vegetables,,,,,,,,,
372,domestic eggs,yogurt,,,,,,,,,
373,yogurt,other vegetables,rolls/buns,herbs,,,,,,,
374,pork,whole milk,,,,,,,,,
375,other vegetables,white bread,,,,,,,,,
376,bottled water,yogurt,tropical fruit,whole milk,,,,,,,
377,beef,specialty fat,newspapers,,,,,,,,
378,onions,newspapers,,,,,,,,,
379,rolls/buns,semi-finished bread,,,,,,,,,
380,whole milk,pastry,,,,,,,,,
381,shopping bags,rolls/buns,,,,,,,,,
382,citrus fruit,misc. beverages,,,,,,,,,
383,liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
384,citrus fruit,misc. beverages,,,,,,,,,
385,pastry,canned beer,whipped/sour cream,grapes,,,,,,,
386,frozen potato products,specialty cheese,,,,,,,,,
387,salty snack,pastry,oil,,,,,,,,
388,brown bread,whole milk,shopping bags,,,,,,,,
389,chocolate,whole milk,,,,,,,,,
390,curd,sugar,,,,,,,,,
391,pip fruit,margarine,,,,,,,,,
392,pip fruit,salty snack,pastry,,,,,,,,
393,citrus fruit,frozen vegetables,margarine,,,,,,,,
394,margarine,yogurt,,,,,,,,,
395,pickled vegetables,liquor,,,,,,,,,
396,bottled water,chocolate,,,,,,,,,
397,soda,salty snack,,,,,,,,,
398,ham,yogurt,,,,,,,,,
399,pastry,baking powder,butter,margarine,curd,dishes,,,,,
400,whole milk,soda,,,,,,,,,
401,whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
402,other vegetables,whipped/sour cream,,,,,,,,,
403,bottled water,flour,sugar,,,,,,,,
404,beef,semi-finished bread,,,,,,,,,
405,dish cleaner,ice cream,jam,newspapers,,,,,,,
406,curd,canned beer,,,,,,,,,
407,whole milk,yogurt,newspapers,,,,,,,,
408,pork,pudding powder,domestic eggs,,,,,,,,
409,bottled beer,specialty bar,baking powder,,,,,,,,
410,root vegetables,shopping bags,,,,,,,,,
411,chocolate,brown bread,salty snack,,,,,,,,
412,root vegetables,citrus fruit,,,,,,,,,
413,chicken,shopping bags,,,,,,,,,
414,misc. beverages,UHT-milk,white bread,,,,,,,,
415,dog food,sausage,dessert,shopping bags,,,,,,,
416,other vegetables,butter,,,,,,,,,
417,turkey,root vegetables,,,,,,,,,
418,whipped/sour cream,yogurt,,,,,,,,,
419,other vegetables,yogurt,,,,,,,,,
420,other vegetables,napkins,,,,,,,,,
421,brown bread,butter milk,canned vegetables,soda,,,,,,,
422,brown bread,soda,,,,,,,,,
423,other vegetables,zwieback,,,,,,,,,
424,other vegetables,cream cheese ,liquor,root vegetables,newspapers,hard cheese,,,,,
425,chicken,bottled water,,,,,,,,,
426,newspapers,white bread,rolls/buns,beverages,,,,,,,
427,frankfurter,rolls/buns,,,,,,,,,
428,meat,whole milk,whipped/sour cream,,,,,,,,
429,bottled beer,frozen vegetables,sliced cheese,,,,,,,,
430,pip fruit,processed cheese,canned beer,,,,,,,,
431,berries,condensed milk,,,,,,,,,
432,house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
433,ham,yogurt,,,,,,,,,
434,whole milk,hair spray,butter,pastry,,,,,,,
435,grapes,whole milk,,,,,,,,,
436,tropical fruit,sugar,,,,,,,,,
437,soda,UHT-milk,newspapers,white bread,,,,,,,
438,citrus fruit,brown bread,,,,,,,,,
439,meat,other vegetables,,,,,,,,,
440,pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
441,other vegetables,specialty bar,,,,,,,,,
442,coffee,shopping bags,,,,,,,,,
443,chicken,dishes,,,,,,,,,
444,root vegetables,frozen vegetables,,,,,,,,,
445,bottled water,citrus fruit,,,,,,,,,
446,rolls/buns,oil,yogurt,,,,,,,,
447,pip fruit,whole milk,,,,,,,,,
448,frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
449,pork,soda,canned vegetables,,,,,,,,
450,bottled beer,hygiene articles,,,,,,,,,
451,yogurt,soda,,,,,,,,,
452,root vegetables,margarine,rolls/buns,,,,,,,,
453,rolls/buns,margarine,,,,,,,,,
454,sausage,pastry,,,,,,,,,
455,popcorn,citrus fruit,,,,,,,,,
456,condensed milk,shopping bags,,,,,,,,,
457,rolls/buns,whipped/sour cream,,,,,,,,,
458,misc. beverages,whole milk,long life bakery product,,,,,,,,
459,newspapers,pork,root vegetables,napkins,,,,,,,
460,citrus fruit,soda,,,,,,,,,
461,soda,roll products ,,,,,,,,,
462,frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
463,other vegetables,butter,pastry,UHT-milk,,,,,,,
464,specialty bar,soda,frozen vegetables,frozen vegetables,,,,,,,
465,liquor,domestic eggs,,,,,,,,,
466,frankfurter,white bread,,,,,,,,,
467,meat,coffee,,,,,,,,,
468,whole milk,baking powder,,,,,,,,,
469,flower (seeds),white wine,,,,,,,,,
470,grapes,frozen meals,flower (seeds),,,,,,,,
471,tea,yogurt,shopping bags,brown bread,,,,,,,
472,cream cheese ,specialty chocolate,,,,,,,,,
473,margarine,soda,,,,,,,,,
474,yogurt,softener,,,,,,,,,
475,tropical fruit,cream cheese ,cream cheese ,,,,,,,,
476,bottled water,frankfurter,dessert,root vegetables,,,,,,,
477,bottled beer,whole milk,,,,,,,,,
478,other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
479,soda,whole milk,,,,,,,,,
480,yogurt,pastry,,,,,,,,,
481,coffee,shopping bags,shopping bags,,,,,,,,
482,sausage,rolls/buns,rice,,,,,,,,
483,curd,domestic eggs,,,,,,,,,
484,pork,whole milk,napkins,,,,,,,,
485,cream cheese ,newspapers,,,,,,,,,
486,other vegetables,oil,,,,,,,,,
487,pastry,brown bread,yogurt,,,,,,,,
488,hard cheese,butter,,,,,,,,,
489,whole milk,other vegetables,,,,,,,,,
490,sausage,shopping bags,soda,butter,dessert,soda,,,,,
491,citrus fruit,flower (seeds),,,,,,,,,
492,rolls/buns,fruit/vegetable juice,,,,,,,,,
493,instant coffee,shopping bags,,,,,,,,,
494,root vegetables,butter milk,,,,,,,,,
495,tropical fruit,other vegetables,,,,,,,,,
496,tropical fruit,butter milk,brown bread,,,,,,,,
497,tropical fruit,whole milk,,,,,,,,,
498,herbs,citrus fruit,,,,,,,,,
499,other vegetables,beef,,,,,,,,,
500,nut snack,canned beer,,,,,,,,,
501,whole milk,other vegetables,other vegetables,sugar,,,,,,,
502,citrus fruit,napkins,,,,,,,,,
503,whole milk,root vegetables,,,,,,,,,
504,rolls/buns,butter milk,,,,,,,,,
505,tropical fruit,soft cheese,,,,,,,,,
506,rolls/buns,brown bread,canned beer,,,,,,,,
507,pork,pickled vegetables,,,,,,,,,
508,tropical fruit,misc. beverages,,,,,,,,,
509,photo/film,frankfurter,other vegetables,curd,waffles,,,,,,
510,pip fruit,other vegetables,cling film/bags,,,,,,,,
511,rolls/buns,whole milk,soda,,,,,,,,
512,tropical fruit,yogurt,,,,,,,,,
513,cat food,rolls/buns,,,,,,,,,
514,berries,white bread,,,,,,,,,
515,newspapers,soups,,,,,,,,,
516,rolls/buns,soda,,,,,,,,,
517,other vegetables,napkins,,,,,,,,,
518,chicken,brown bread,,,,,,,,,
519,UHT-milk,soda,,,,,,,,,
520,pork,soda,,,,,,,,,
521,oil,pickled vegetables,,,,,,,,,
522,misc. beverages,spread cheese,,,,,,,,,
523,soda,whole milk,whole milk,sugar,,,,,,,
524,pork,domestic eggs,,,,,,,,,
525,root vegetables,coffee,,,,,,,,,
526,meat,whole milk,,,,,,,,,
527,chicken,domestic eggs,white bread,,,,,,,,
528,soda,whipped/sour cream,,,,,,,,,
529,canned beer,fish,,,,,,,,,
530,hard cheese,root vegetables,white bread,,,,,,,,
531,brown bread,other vegetables,,,,,,,,,
532,bottled beer,soda,,,,,,,,,
533,tropical fruit,root vegetables,,,,,,,,,
534,curd,soft cheese,,,,,,,,,
535,frozen vegetables,pip fruit,root vegetables,cereals,,,,,,,
536,other vegetables,berries,candy,sliced cheese,,,,,,,
537,yogurt,soda,yogurt,,,,,,,,
538,bottled water,shopping bags,waffles,,,,,,,,
539,whole milk,bottled beer,,,,,,,,,
540,pork,margarine,,,,,,,,,
541,soda,whole milk,,,,,,,,,
542,frozen meals,detergent,,,,,,,,,
543,specialty chocolate,canned fish,,,,,,,,,
544,soda,other vegetables,,,,,,,,,
545,root vegetables,soda,long life bakery product,,,,,,,,
546,pork,yogurt,,,,,,,,,
547,yogurt,sausage,whole milk,shopping bags,white bread,dog food,baking powder,sliced cheese,,,
548,pork,tropical fruit,,,,,,,,,
549,soda,other vegetables,,,,,,,,,
550,soda,bottled beer,chicken,yogurt,,,,,,,
551,seasonal products,frozen vegetables,yogurt,,,,,,,,
552,long life bakery product,rolls/buns,UHT-milk,bottled water,,,,,,,
553,pip fruit,berries,,,,,,,,,
554,other vegetables,fruit/vegetable juice,,,,,,,,,
555,canned beer,sugar,,,,,,,,,
556,curd,soft cheese,,,,,,,,,
557,berries,pip fruit,pastry,,,,,,,,
558,curd cheese,soda,,,,,,,,,
559,soda,frozen meals,,,,,,,,,
560,whole milk,rolls/buns,,,,,,,,,
561,pork,domestic eggs,,,,,,,,,
562,tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
563,chicken,cake bar,,,,,,,,,
564,chewing gum,whole milk,bottled beer,ready soups,,,,,,,
565,butter,ice cream,,,,,,,,,
566,whole milk,grapes,,,,,,,,,
567,frankfurter,soft cheese,mustard,,,,,,,,
568,female sanitary products,rolls/buns,,,,,,,,,
569,citrus fruit,sausage,whole milk,canned beer,,,,,,,
